title,systemName
Blasphemous 2,Nintendo Switch
Blast Brigade vs. The Evil Legion Of Dr. Cread,Nintendo Switch
Blazing Strike,Nintendo Switch
Bloodstained – Curse Of The Moon,Nintendo Switch
Bloodstained: Ritual Of The Night,Nintendo Switch
Bloomtown: A Different Story,Nintendo Switch
Bluey: The Videogame,Nintendo Switch
Bomb Rush Cyberfunk,Nintendo Switch
Bomb Rush Cyberfunk,Nintendo Switch
Bomb Rush Cyberfunk,Nintendo Switch
Bomb Rush Cyberfunk,Nintendo Switch
Bonds Of The Skies,Nintendo Switch
Boomerang Fu,Nintendo Switch
Boot Hill Heroes,Nintendo Switch
Borderlands,Nintendo Switch
Borderlands 2,Nintendo Switch
Borderlands: The Pre-Sequel Ultimate Edition,Nintendo Switch
Boreal Tenebrae,Nintendo Switch
Born Of Bread,Nintendo Switch
Born Of Bread,Nintendo Switch
Boti: Byteland Overclocked,Nintendo Switch
Braid Anniversary Edition,Nintendo Switch
Bramble The Mountain King,Nintendo Switch
Bravely Default II,Nintendo Switch
Breathedge,Nintendo Switch
Brewmaster Beer Brewing Simulator,Nintendo Switch
Broforce,Nintendo Switch
Brotato,Nintendo Switch
Brothers,Nintendo Switch
Bud Spencer & Terence Hill – Slaps And Beans 2,Nintendo Switch
Bug Fables,Nintendo Switch
Bugsnax,Nintendo Switch
Bulletstorm Duke Of Switch Edition,Nintendo Switch
Bulletstorm Duke Of Switch Edition,Nintendo Switch
Burnout Legends,Nintendo Switch
Burnout Paradise Remastered,Nintendo Switch
Burnout Paradise Remastered,Nintendo Switch
Butcher,Nintendo Switch
Bzzzt,Nintendo Switch
Bzzzt,Nintendo Switch
Cadence Of Hyrule: Crypt Of The Necrodancer,Nintendo Switch
Call Of Juarez: Gunslinger,Nintendo Switch
Capcom Fighting Collection 2,Nintendo Switch
Captai,Nintendo Switch
Captain Toad: Treasure Tracker,Nintendo Switch
Captain Toad: Treasure Tracker,Nintendo Switch
Caravan Sandwich,Nintendo Switch
Carrion,Nintendo Switch
Carto,Nintendo Switch
Cassette Beasts,Nintendo Switch
Castlestorm,Nintendo Switch
Castlestorm 2,Nintendo Switch
Castlevania Anniversary Collection,Nintendo Switch
Castlevania Dominus Collection,Nintendo Switch
Cat Quest,Nintendo Switch
Cat Quest III,Nintendo Switch
Cat Quest III,Nintendo Switch
Catan Console Edition,Nintendo Switch
Catan Console Edition,Nintendo Switch
Catastronauts!,Nintendo Switch
Catherine: Full Body,Nintendo Switch
Cave Story+,Nintendo Switch
Cel Damage Hd,Nintendo Switch
Celeste,Nintendo Switch
Celeste,Nintendo Switch
Celeste,Nintendo Switch
Celeste,Nintendo Switch
Chained Echoes,Nintendo Switch
Chicken Police,Nintendo Switch
Child Of Light Ultimate Edition,Nintendo Switch
Chocobo Gp,Nintendo Switch
Choo-Choo Charles,Nintendo Switch
Chrono Cross – The Radical Dreamers Edition,Nintendo Switch
Circuit Superstars,Nintendo Switch
Citizen Sleeper,Nintendo Switch
Citizen Sleeper,Nintendo Switch
Civilization II,Nintendo Switch
Clubhouse Games,Nintendo Switch
Cluster Truck,Nintendo Switch
Cobalt Core,Nintendo Switch
Code Of Princess Ex,Nintendo Switch
Code Realize Wintertide Miracles,Nintendo Switch
Coffee Talk,Nintendo Switch
Collection Of Mana,Nintendo Switch
Commandos 2 – HD Remaster,Nintendo Switch
Commandos 3 – HD Remaster,Nintendo Switch
Company Of Heroes,Nintendo Switch
Contra Operation Galuga,Nintendo Switch
Contra Operation Galuga,Nintendo Switch
Core Keeper,Nintendo Switch
Corpse Party,Nintendo Switch
Crash Bandicoot 4,Nintendo Switch
Crash Bandicoot N. Sane Trilogy,Nintendo Switch
Crash Bandicoot N. Sane Trilogy,Nintendo Switch
Crash Bandicoot N. Sane Trilogy,Nintendo Switch
Crash Bandicoot N. Sane Trilogy,Nintendo Switch
Crash Bandicoot N. Sane Trilogy,Nintendo Switch
Crash Team Racing: Nitro-Fueled,Nintendo Switch
Crash Team Racing: Nitro-Fueled,Nintendo Switch
Crash Team Racing: Nitro-Fueled,Nintendo Switch
Crashlands,Nintendo Switch
Crawl,Nintendo Switch
Creepy Tale,Nintendo Switch
Cris Tales,Nintendo Switch
Crisis Core: Final Fantasy II Reunion,Nintendo Switch
Crosscode,Nintendo Switch
Crow Country,Nintendo Switch
Crow Country,Nintendo Switch
Crown Trick,Nintendo Switch
Cruis’n Blast,Nintendo Switch
Cruis’n Blast,Nintendo Switch
Crumble,Nintendo Switch
Crymachina,Nintendo Switch
Crypt Custodian,Nintendo Switch
Crypt Custodian,Nintendo Switch
Crysis Remastered,Nintendo Switch
Crystal Breaker,Nintendo Switch
Ctr: Nitro Fueled,Nintendo Switch
Cult Of The Lamb,Nintendo Switch
Cult Of The Lamb,Nintendo Switch
Cult Of The Lamb,Nintendo Switch
Cuphead,Nintendo Switch
Cuphead In The Delicious Last Course,Nintendo Switch
Curse Of The Dead Gods,Nintendo Switch
Cursed To Golf,Nintendo Switch
Cyberage,Nintendo Switch
Dadish,Nintendo Switch
Dadish 3D,Nintendo Switch
Danganronpa: Trigger Happy Havoc Anniversary Edition,Nintendo Switch
Dark Devotion,Nintendo Switch
Dark Souls 1,Nintendo Switch
Dark Souls Remastered,Nintendo Switch
